Time,Model,Method
0.007631063,LV,Pool
0.007164955,LV,Pool
0.004930019,LV,Pool
0.00457716,LV,Pool
0.006129026,LV,Pool
0.002790928,LV,Pool
0.006057978,LV,Pool
0.012567997,LV,Pool
0.003926039,LV,Pool
0.007078886,LV,Pool
0.00937295,LV,Pool
0.001303911,LV,Pool
0.003975153,LV,Pool
0.004723072,LV,Pool
0.011717081,LV,Pool
0.008179903,LV,Pool
0.003983021,LV,Pool
0.003561974,LV,Pool
0.003922939,LV,Pool
0.005038977,LV,Pool
0.002768993,LV,Pool
0.005812168,LV,Pool
0.019350052,LV,Pool
0.004271984,LV,Pool
0.007737875,LV,Pool
0.010925055,LV,Pool
0.008249044,LV,Pool
0.004633188,LV,Pool
0.007886171,LV,Pool
0.010757923,LV,Pool
0.010252953,LV,Pool
0.014518023,LV,Pool
0.003666162,LV,Pool
0.008856058,LV,Pool
0.006003857,LV,Pool
0.00860405,LV,Pool
0.008069992,LV,Pool
0.003124952,LV,Pool
0.00226903,LV,Pool
0.004125118,LV,Pool
0.007958889,LV,Pool
0.014778137,LV,Pool
0.007065058,LV,Pool
0.00792098,LV,Pool
0.010375023,LV,Pool
0.007545948,LV,Pool
0.004038095,LV,Pool
0.007187843,LV,Pool
0.006684065,LV,Pool
0.006201982,LV,Pool
0.006970882,LV,Pool
0.016330957,LV,Queue
0.01146102,LV,Queue
0.012733936,LV,Queue
0.009866953,LV,Queue
0.011006117,LV,Queue
0.015683174,LV,Queue
0.008650064,LV,Queue
0.010277987,LV,Queue
0.012245178,LV,Queue
0.01532197,LV,Queue
0.013252974,LV,Queue
0.010668993,LV,Queue
0.014607191,LV,Queue
0.013907194,LV,Queue
0.01434207,LV,Queue
0.018203974,LV,Queue
0.01599288,LV,Queue
0.014348984,LV,Queue
0.0122931,LV,Queue
0.011612892,LV,Queue
0.016184092,LV,Queue
0.014261961,LV,Queue
0.012824059,LV,Queue
0.014815807,LV,Queue
0.01240015,LV,Queue
0.011550188,LV,Queue
0.016459942,LV,Queue
0.010096073,LV,Queue
0.012468815,LV,Queue
0.015639782,LV,Queue
0.017524958,LV,Queue
0.0132761,LV,Queue
0.016616106,LV,Queue
0.013792038,LV,Queue
0.01511097,LV,Queue
0.013154984,LV,Queue
0.013590097,LV,Queue
0.017737865,LV,Queue
0.016590118,LV,Queue
0.015168905,LV,Queue
0.01328516,LV,Queue
0.014477015,LV,Queue
0.01157999,LV,Queue
0.014910936,LV,Queue
0.014964819,LV,Queue
0.016145945,LV,Queue
0.013310194,LV,Queue
0.01394105,LV,Queue
0.016831875,LV,Queue
0.015944004,LV,Queue
0.014631987,LV,Queue
0.015337944,LV,Queue
0.012320995,LV,Queue
0.01312089,LV,Queue
0.012768984,LV,Queue
0.015814781,LV,Queue
0.01264286,LV,Queue
0.01507616,LV,Queue
0.014311075,LV,Queue
0.01599884,LV,Queue
0.017699957,LV,Queue
0.012953997,LV,Queue
0.011634827,LV,Queue
0.014422178,LV,Queue
0.017350912,LV,Queue
0.014567852,LV,Queue
0.010823011,LV,Queue
0.012087107,LV,Queue
0.015883923,LV,Queue
0.014786005,LV,Queue
0.014627934,LV,Queue
0.01394701,LV,Queue
0.013829947,LV,Queue
0.011763096,LV,Queue
0.010068893,LV,Queue
0.012937069,LV,Queue
0.014932871,LV,Queue
0.016552925,LV,Queue
0.0156672,LV,Queue
0.015699863,LV,Queue
0.018076181,LV,Queue
0.017036915,LV,Queue
0.013362169,LV,Queue
0.012956858,LV,Queue
0.016022921,LV,Queue
0.015918016,LV,Queue
0.013866901,LV,Queue
0.017918825,LV,Queue
0.010699987,LV,Queue
0.013764143,LV,Queue
0.153410435,LV,Queue
0.012269974,LV,Queue
0.016424894,LV,Queue
0.016610861,LV,Queue
0.012715101,LV,Queue
0.015686035,LV,Queue
0.016756058,LV,Queue
0.014645815,LV,Queue
0.017882824,LV,Queue
0.017165184,LV,Queue
