Time,prey,predator
34.93493493,3.25005838,14.99988323
35.03503504,3.25005652,14.99988696
35.13513514,3.25005471,14.99989057
35.23523524,3.25005297,14.99989406
35.33533534,3.25005127,14.99989744
35.43543544,3.25004964,14.99990071
35.53553554,3.25004805,14.99990388
35.63563564,3.25004652,14.99990694
35.73573574,3.25004504,14.99990991
35.83583584,3.25004360,14.99991279
35.93593594,3.25004220,14.99991558
36.03603604,3.25004086,14.99991827
36.13613614,3.25003956,14.99992087
36.23623624,3.25003830,14.99992338
36.33633634,3.25003708,14.99992582
36.43643644,3.25003590,14.99992818
36.53653654,3.25003476,14.99993046
36.63663664,3.25003366,14.99993267
36.73673674,3.25003259,14.99993481
36.83683684,3.25003155,14.99993688
36.93693694,3.25003055,14.99993889
37.03703704,3.25002958,14.99994084
37.13713714,3.25002863,14.99994273
37.23723724,3.25002772,14.99994455
37.33733734,3.25002684,14.99994631
37.43743744,3.25002599,14.99994802
37.53753754,3.25002516,14.99994967
37.63763764,3.25002437,14.99995127
37.73773774,3.25002359,14.99995282
37.83783784,3.25002284,14.99995432
37.93793794,3.25002212,14.99995577
38.03803804,3.25002141,14.99995717
38.13813814,3.25002073,14.99995854
38.23823824,3.25002007,14.99995986
38.33833834,3.25001943,14.99996114
38.43843844,3.25001881,14.99996238
38.53853854,3.25001821,14.99996358
38.63863864,3.25001763,14.99996474
38.73873874,3.25001707,14.99996587
38.83883884,3.25001653,14.99996695
38.93893894,3.25001600,14.99996801
39.03903904,3.25001549,14.99996903
39.13913914,3.25001499,14.99997002
39.23923924,3.25001452,14.99997097
39.33933934,3.25001405,14.99997190
39.43943944,3.25001360,14.99997280
39.53953954,3.25001317,14.99997367
39.63963964,3.25001275,14.99997451
39.73973974,3.25001234,14.99997533
39.83983984,3.25001194,14.99997611
39.93993994,3.25001156,14.99997688
40.04004004,3.25001119,14.99997762
40.14014014,3.25001083,14.99997833
40.24024024,3.25001049,14.99997902
40.34034034,3.25001015,14.99997969
40.44044044,3.25000983,14.99998034
40.54054054,3.25000951,14.99998097
40.64064064,3.25000921,14.99998158
40.74074074,3.25000891,14.99998217
40.84084084,3.25000863,14.99998274
40.94094094,3.25000835,14.99998329
41.04104104,3.25000809,14.99998382
41.14114114,3.25000783,14.99998434
41.24124124,3.25000758,14.99998484
41.34134134,3.25000734,14.99998532
41.44144144,3.25000710,14.99998579
41.54154154,3.25000688,14.99998624
41.64164164,3.25000666,14.99998668
41.74174174,3.25000645,14.99998710
41.84184184,3.25000624,14.99998751
41.94194194,3.25000604,14.99998791
42.04204204,3.25000585,14.99998830
42.14214214,3.25000566,14.99998867
42.24224224,3.25000549,14.99998903
42.34234234,3.25000532,14.99998937
42.44244244,3.25000515,14.99998970
42.54254254,3.25000499,14.99999001
42.64264264,3.25000484,14.99999032
42.74274274,3.25000470,14.99999061
42.84284284,3.25000455,14.99999090
